terrain,inc_time_d,compound,peak_nr,is_ref,rt_start,rt,rt_end,amp2,amp3,bgrd2_start,bgrd3_start,bgrd2_end,bgrd3_end,area2,area3,r3/2,rd3/2,d3/2,d2H,at2H,n_overlapping,n_matches,f_label,at2H_mn_zero,d2H_mn_zero,area2_mn_zero,No.,rt_FID,area_FID,height_FID,rel_area_FID,rel_height_FID,amount_FID,at2H_weighted,a,t0,f_start,d_t,f_t,u_d,gen_d,chain_fctr,chain_num,u_d_weighted,gen_d_weighted
Marshall Mesa Grassland,0,18:0,37.5,0,2602.9905,2618.143,2625.667,528.833164938728,161.203869491403,289.197638295902,100.561238069099,289.197638295902,100.561238069099,5310.15863064515,1790.46166956368,0.33715042500418047,264.40238933484,-26.4101602121734,-26.4101602121734,0.0151613625276369,1,1,0.5,0.0151613625276369,-26.4101602121734,5310.15863064515,19.5,18.010833333333334,1.0564172975000035,26.121480529850732,1.5476462886129727,2.0181537529091775,NA,0.0140713650744286,0.5,0,0.0151613625276369,0,0.0151613625276369,NA,NA,C18,18,0,0
Marshall Mesa Grassland,0,18:1 cis,34.5,0,2529.736,2551.3675000000003,2557.6375,1026.90197481689,300.475079923982,310.836217041875,108.650199483815,310.836217041875,108.650199483815,14476.2438851634,4619.44560334963,0.3187256521723465,195.295237083523,-79.6226674456869,-79.6226674456869,0.014332822211962,1,1,0.5,0.014332822211962,-79.6226674456869,14476.2438851634,NA,NA,NA,NA,NA,NA,NA,0.0140713650744286,0.5,0,0.014332822211962,0,0.014332822211962,NA,NA,C18,18,0,0
Marshall Mesa Grassland,0,18:1 trans,35.5,0,2557.6375,2572.163,2580.8365,1335.19545968925,355.562291896476,638.97665926023,232.120011532075,638.97665926023,232.120011532075,16085.9622399202,4741.90342344372,0.29520654807323676,107.110075632807,-147.525241762739,-147.525241762739,0.0132755315087626,1,1,0.5,0.0132755315087626,-147.525241762739,16085.9622399202,NA,NA,NA,NA,NA,NA,NA,0.0140713650744286,0.5,0,0.0132755315087626,0,0.0132755315087626,NA,NA,C18,18,0,0
Marshall Mesa Grassland,0,18:2,33.5,0,2509.254,2519.7039999999997,2529.109,261.368708170753,79.0664981890276,238.032209669889,86.9382152632447,238.032209669889,86.9382152632447,2520.07804938637,762.525175908975,0.3026557413741021,135.028209117505,-126.028278979521,-126.028278979521,0.0136102568846809,1,1,0.5,0.0136102568846809,-126.028278979521,2520.07804938637,NA,NA,NA,NA,NA,NA,NA,0.0140713650744286,0.5,0,0.0136102568846809,0,0.0136102568846809,NA,NA,C18,18,0,0
Marshall Mesa Grassland,0,a-15:0,16.5,0,1746.613,1757.481,1771.275,594.959003505367,160.720558989284,274.141789122841,95.1289183311697,274.141789122841,95.1289183311697,3940.64816975196,1205.53784752459,0.30592052672868997,147.163398662262,-116.684183030058,-116.684183030058,0.0137557513808984,1,1,0.5,0.0137557513808984,-116.684183030058,3940.64816975196,3,12.405833333333334,1.1459996477142815,36.01921794642857,1.677865934070885,2.7881644390616542,NA,0.0140713650744286,0.5,0,0.0137557513808984,0,0.0137557513808984,NA,NA,C15,15,0,0
Marshall Mesa Grassland,0,i-15:0,15.5,0,1722.996,1738.044,1745.6725,830.874713839452,223.812645082566,226.806213550207,84.3323565507617,226.806213550207,84.3323565507617,7006.38663377153,2184.388820236,0.3118044311494411,169.223247611932,-99.6980993388127,-99.6980993388127,0.0140202361557098,1,1,0.5,0.0140202361557098,-99.6980993388127,7006.38663377153,2,12.279166666666667,1.8508515818690419,56.73115855069297,2.709899774901433,4.391103462041574,NA,0.0140713650744286,0.5,0,0.0140202361557098,0,0.0140202361557098,NA,NA,C15,15,0,0
Marshall Mesa Grassland,0,i-16:0,17.5,0,1927.398,1934.504,1942.5505,114.071218098571,35.9500182963858,229.915245535021,84.5706700465494,229.915245535021,84.5706700465494,738.336515920084,230.946973390478,0.3127988548071172,172.983429587622,-96.8027592175309,-96.8027592175309,0.0140653184099849,1,1,0.5,0.0140653184099849,-96.8027592175309,738.336515920084,5.5,13.95,0.7959514291666673,23.67092060833334,1.1659069418597308,1.8294496434119876,NA,0.0140713650744286,0.5,0,0.0140653184099849,0,0.0140653184099849,NA,NA,C16,16,0,0
Marshall Mesa Grassland,0,i-17:0,27,0,2250.721,2261.6935000000003,2270.158,392.921371060273,116.095124101291,249.167618159289,89.8305784885237,249.167618159289,89.8305784885237,2696.63635201999,876.639283023452,0.32531360074051346,219.967260919866,-60.625209091703,-60.625209091703,0.0146286220267536,1,1,0.5,0.0146286220267536,-60.625209091703,2696.63635201999,11.5,15.66,0.5503297274999983,15.254353123809524,0.8062709866806261,1.1780974751167665,NA,0.0140713650744286,0.5,0,0.0146286220267536,0,0.0146286220267536,NA,NA,C17,17,0,0
Marshall Mesa Grassland,3,16:0,19.666666666666668,0,2083.312,2105.5356666666667,2117.86666666667,1211.04598460416,1353.48803596744,246.880589941331,105.029083649611,246.880589941331,105.029083649611,14304.3278172319,19091.8431227076,1.3409769610265125,4030.65765684342,2873.60639576943,2873.60639576943,0.0602949426488331,1,1,0.5,0.0139594363513116,-103.602870994816,19548.9099397851,8,14.596111111111112,3.4767747113888836,91.99688807336642,5.176682612861615,7.552820472982503,NA,0.0546697272209307,0.5,0,0.0139594363513116,3,0.0602949426488331,0.07284437793521441,9.515451984179334,C16,16,0.063418872916652,13.136984533812209
Marshall Mesa Grassland,3,16:1 cis,17.666666666666668,0,2024.23466666667,2036.7746666666667,2049.80233333333,570.240071942785,583.49111999597,259.022529257823,118.673358921317,259.022529257823,118.673358921317,4675.11558822845,5491.40991182116,1.1744202785528401,3405.77998075955,2392.45058518485,2392.45058518485,0.052809489471591,1,1,0.5,0.0135566089459725,-129.473682611804,7222.42730181065,NA,NA,NA,NA,NA,NA,NA,0.0546697272209307,0.5,0,0.0135566089459725,3,0.052809489471591,0.06051283267625361,11.454548562753855,C16,16,0.063418872916652,13.136984533812209
