#Exported for mctoolsr																								
#ASV_ID	Blank25	Blank29	CRCcr0	CRCcr0b	CRCcr0c	GGc0	GGc0b	GGc0c	GGm0	GGm0b	GGm0c	GGm3	GGm3b	GGm3c	MMg0	MMg0b	MMg0c	NRt0-diluted	NRt0	NRt0b-diluted	NRt0b	NRt0c-diluted	NRt0c	taxonomy
ASV_550	0	0	0	0	0	130	109	99	0	0	0	252	202	259	0	0	0	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_550
ASV_557	0	0	0	0	0	242	182	165	42	30	0	119	89	75	52	0	45	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_557
ASV_482	0	0	0	0	0	32	31	30	40	49	46	88	85	61	49	0	14	221	0	111	21	160	0	Bacteria;Acidobacteria;Subgroup_6;NA;NA;NA;ASV_482
ASV_561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	260	356	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_561
ASV_568	0	0	0	0	0	66	90	44	25	32	32	0	0	0	229	183	180	43	0	43	0	39	16	Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;NA;ASV_568
ASV_296	0	0	17	30	31	47	29	22	76	97	61	0	0	0	202	153	143	41	0	28	0	44	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;JGI_0001001-H03;ASV_296
ASV_573	0	0	0	0	0	405	337	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Subgroup_2;NA;NA;ASV_573
ASV_20	0	0	204	380	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;ASV_20
ASV_100	0	0	271	326	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc_PCC-73102;ASV_100
ASV_479	0	0	0	0	0	0	0	0	146	232	112	236	143	126	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;ASV_479
ASV_54	0	0	190	301	308	0	0	0	0	0	47	0	0	0	0	0	0	58	0	31	0	51	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;ASV_54
ASV_587	0	0	0	0	0	0	0	59	0	56	48	78	53	79	105	114	83	158	0	0	0	150	0	Bacteria;Acidobacteria;Subgroup_6;NA;NA;NA;ASV_587
ASV_322	0	0	348	240	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Coleofasciculaceae;Wilmottia_Ant-Ph58;ASV_322
ASV_600	0	0	0	0	0	82	39	72	37	29	0	96	57	41	106	93	46	76	0	68	21	94	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;ASV_600
ASV_601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	253	42	298	108	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_601
ASV_609	0	0	0	0	0	334	267	281	0	0	0	0	0	0	0	0	0	24	0	16	0	22	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;ASV_609
ASV_610	0	0	0	0	0	113	84	62	49	44	36	227	154	175	0	0	0	0	0	0	0	0	0	Bacteria;Acidobacteria;Subgroup_6;NA;NA;NA;ASV_610
ASV_174	0	0	208	380	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;ASV_174
ASV_626	0	0	0	0	0	95	76	56	143	134	120	32	33	0	0	50	49	32	0	30	0	50	10	Bacteria;Acidobacteria;Subgroup_6;NA;NA;NA;ASV_626
ASV_636	0	0	0	0	0	0	0	0	35	26	24	28	25	0	250	98	132	97	0	60	0	108	16	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;ASV_636
ASV_649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	268	231	0	0	0	0	0	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;Stenotrophobacter;ASV_649
ASV_656	0	0	0	0	0	168	212	154	43	29	32	0	0	0	26	0	0	73	0	58	0	69	7	Bacteria;Acidobacteria;Acidobacteriia;Solibacterales;Solibacteraceae_(Subgroup_3);Bryobacter;ASV_656
ASV_658	0	0	0	0	0	0	0	0	231	262	145	0	0	46	0	0	0	62	0	48	0	76	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;JGI_0001001-H03;ASV_658
ASV_659	0	0	0	0	0	0	0	0	0	0	0	56	52	49	0	0	0	167	0	203	30	262	43	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;JGI_0001001-H03;ASV_659
