"","sample","file","No.","Peak Name","Retention Time","Area","Height","Relative Area","Relative Height","Amount","group","inc_time","site"
"68","cri3","FID0212_cri3_100ul-nhex.xls",28,"24:0",27.355,0.158348156666668,3.64652547826088,0.0958015802710641,0.133789092886687,NA,"C24",3,"intact biocrust"
"69","cri5","FID0213_cri5_100ul-nhex.xls",NA,"14:1 cis 9",NA,NA,NA,NA,NA,NA,"C14",5,"intact biocrust"
"70","cri5","FID0213_cri5_100ul-nhex.xls",1,"14:0",11.24,0.170914113333334,6.39390730303031,0.141969013241127,0.29642282465396,NA,"C14",5,"intact biocrust"
"71","cri5","FID0213_cri5_100ul-nhex.xls",2,"i-15:0",12.2633333333333,0.957240508333336,29.3464369491525,0.795127375686496,1.3605067014147,NA,"C15",5,"intact biocrust"
"72","cri5","FID0213_cri5_100ul-nhex.xls",3,"a-15:0",12.3933333333333,0.891853339166667,27.5951964861111,0.740813827763639,1.27931884239507,NA,"C15",5,"intact biocrust"
"73","cri5","FID0213_cri5_100ul-nhex.xls",NA,"15:1 cis 10",NA,NA,NA,NA,NA,NA,"C15",5,"intact biocrust"
"74","cri5","FID0213_cri5_100ul-nhex.xls",4,"15:0",12.8666666666667,0.128309003333334,4.4932341875,0.106579276795354,0.20830723790119,NA,"C15",5,"intact biocrust"
"75","cri5","FID0213_cri5_100ul-nhex.xls",5,"i-16:0",13.9833333333333,1.38119112,21.5382905671642,1.14727997928047,0.998519469481632,NA,"C16",5,"intact biocrust"
"76","cri5","FID0213_cri5_100ul-nhex.xls",7,"16:1 cis 9",14.2233333333333,6.4286610276079,150.19759794964,5.33993737995878,6.96319075807865,NA,"C16",5,"intact biocrust"
"77","cri5","FID0213_cri5_100ul-nhex.xls",9,"16:0",14.6316666666667,15.0624236166667,287.735600235294,12.5115321150073,13.339480122714,NA,"C16",5,"intact biocrust"
"78","cri5","FID0213_cri5_100ul-nhex.xls",10,"i-17:0",15.6466666666667,0.270057426666666,7.99027728571428,0.224321945300856,0.370430857150101,NA,"C17",5,"intact biocrust"
"79","cri5","FID0213_cri5_100ul-nhex.xls",11,"17:1 cis 10",15.8533333333333,0.581311518333335,19.0832055555556,0.482863708759556,0.884701236057805,NA,"C17",5,"intact biocrust"
"80","cri5","FID0213_cri5_100ul-nhex.xls",12,"17:0 cyclo",16.005,0.145841029999998,5.00668051612893,0.121142173196596,0.232110712651014,NA,"C17",5,"intact biocrust"
"81","cri5","FID0213_cri5_100ul-nhex.xls",13,"17:0",16.2783333333333,0.145877013333334,4.57546899999999,0.121172062585056,0.212119660298147,NA,"C17",5,"intact biocrust"
"82","cri5","FID0213_cri5_100ul-nhex.xls",NA,"18:3 cis 3, 9, 12",NA,NA,NA,NA,NA,NA,"C18",5,"intact biocrust"
"83","cri5","FID0213_cri5_100ul-nhex.xls",14,"18:2 trans 9, 12",17.4633333333333,11.3412132382563,178.26113894958,9.42052602322117,8.26422214604572,NA,"C18",5,"intact biocrust"
"84","cri5","FID0213_cri5_100ul-nhex.xls",15,"18:1 trans 9",17.6066666666667,20.755439802528,317.401100756303,17.2404095289878,14.7147786752975,NA,"C18",5,"intact biocrust"
"85","cri5","FID0213_cri5_100ul-nhex.xls",16,"18:1 cis 9",17.6983333333333,10.0008680758823,213.221961411765,8.30717454864964,9.88501288562291,NA,"C18",5,"intact biocrust"
"86","cri5","FID0213_cri5_100ul-nhex.xls",17,"18:0",18,0.854203068333337,21.9901127419355,0.709539805424452,1.01946603610194,NA,"C18",5,"intact biocrust"
"87","cri5","FID0213_cri5_100ul-nhex.xls",18,"PAIBE",18.385,19.1608403683334,284.249763142857,15.9158629261806,13.1778760161399,NA,"CNA",5,"intact biocrust"
"88","cri5","FID0213_cri5_100ul-nhex.xls",19,"19:1",19.4216666666667,0.545975486666664,13.791876,0.453511998419576,0.639394136862073,NA,"C19",5,"intact biocrust"
"89","cri5","FID0213_cri5_100ul-nhex.xls",20,"20:4 cis 5, 8, 11, 14",20.1366666666667,4.85395207666669,102.866364052632,4.03191271454636,4.76890526390841,NA,"C20",5,"intact biocrust"
"90","cri5","FID0213_cri5_100ul-nhex.xls",21,"20:5 cis 5, 8, 11, 14, 17",20.2216666666667,1.37106428166667,36.1092820909091,1.13886816812341,1.67403355825023,NA,"C20",5,"intact biocrust"
"91","cri5","FID0213_cri5_100ul-nhex.xls",22,"20:3 cis 11, 14, 17",20.4266666666667,0.960528031666661,22.7772091428571,0.797858141651558,1.05595598307468,NA,"C20",5,"intact biocrust"
"92","cri5","FID0213_cri5_100ul-nhex.xls",NA,"20:2 cis 11,14",NA,NA,NA,NA,NA,NA,"C20",5,"intact biocrust"
"93","cri5","FID0213_cri5_100ul-nhex.xls",24,"20:1 cis 11",20.8533333333333,0.537557245833334,13.1555236451613,0.446519425828434,0.609892714092445,NA,"C20",5,"intact biocrust"
"94","cri5","FID0213_cri5_100ul-nhex.xls",NA,"20:0",NA,NA,NA,NA,NA,NA,"C20",5,"intact biocrust"
"95","cri5","FID0213_cri5_100ul-nhex.xls",25,"21:0 (STD)",22.9866666666667,14.7351044566667,198.883446552147,12.2396459772635,9.22027646161873,NA,"C21",5,"intact biocrust"
"96","cri5","FID0213_cri5_100ul-nhex.xls",NA,"22:6 cis 4, 7, 10, 13, 16, 19",NA,NA,NA,NA,NA,NA,"C22",5,"intact biocrust"
"97","cri5","FID0213_cri5_100ul-nhex.xls",NA,"22:2 cis 13, 16",NA,NA,NA,NA,NA,NA,"C22",5,"intact biocrust"
"98","cri5","FID0213_cri5_100ul-nhex.xls",NA,"22:1 cis 13",NA,NA,NA,NA,NA,NA,"C22",5,"intact biocrust"
"99","cri5","FID0213_cri5_100ul-nhex.xls",NA,"22:0",NA,NA,NA,NA,NA,NA,"C22",5,"intact biocrust"
"100","cri5","FID0213_cri5_100ul-nhex.xls",26,"23:0 (STD)",25.9616666666667,4.31811807666666,73.8225629587629,3.58682469485376,3.42242882142822,NA,"C23",5,"intact biocrust"
"101","cri5","FID0213_cri5_100ul-nhex.xls",NA,"24:1 cis 15",NA,NA,NA,NA,NA,NA,"C24",5,"intact biocrust"
"102","cri5","FID0213_cri5_100ul-nhex.xls",27,"24:0",27.36,0.271348695,5.51541036065573,0.225394531335665,0.255695530252128,NA,"C24",5,"intact biocrust"
"103","cri7","FID0214_cri7_100ul-nhex.xls",NA,"14:1 cis 9",NA,NA,NA,NA,NA,NA,"C14",7,"intact biocrust"
"104","cri7","FID0214_cri7_100ul-nhex.xls",1,"14:0",11.2383333333333,0.165574284166667,5.79489,0.165218399706501,0.313419366252508,NA,"C14",7,"intact biocrust"
"105","cri7","FID0214_cri7_100ul-nhex.xls",2,"i-15:0",12.26,0.803888213333336,24.5357506506024,0.802160340407441,1.327027677737,NA,"C15",7,"intact biocrust"
"106","cri7","FID0214_cri7_100ul-nhex.xls",3,"a-15:0",12.39,0.848160703333335,26.3979774246575,0.846337671359746,1.42774709352277,NA,"C15",7,"intact biocrust"
"107","cri7","FID0214_cri7_100ul-nhex.xls",NA,"15:1 cis 10",NA,NA,NA,NA,NA,NA,"C15",7,"intact biocrust"
"108","cri7","FID0214_cri7_100ul-nhex.xls",4,"15:0",12.865,0.09468039,3.13990978947368,0.094476884487939,0.169823505934865,NA,"C15",7,"intact biocrust"
